Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
7860876103,Joe Biden,BIDEN VICTORY FUND,714406,2073
108824017345866,Facebook,"Facebook, Inc.",486152,51
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",446490,2196
20531316728,Facebook App,"Facebook, Inc.",372985,119
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,355891,2140
7860876103,Joe Biden,BIDEN FOR PRESIDENT,336265,1024
367152833370567,Instagram,"Facebook, Inc.",299205,16
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,222034,1789
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,165208,46
280034132055819,WhatsApp,WhatsApp Inc.,152889,6
156968474833352,Stop Republicans,Stop Republicans,148089,212
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",146055,134
350316025478383,When We All Vote,When We All Vote,143708,28
6726182861,Mike Pence,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,142220,1093
1771156219840594,Team Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,140209,531
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,128908,227
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,126571,1732
100217778224266,No On Proposition 23,"NO on 23 - Stop the Dangerous & Costly Dialysis Proposition, a coalition of dialysis providers, nurses, doctors and patients. Committee major funding from DaVita, Fresenius Medical Care, US Renal Care",116236,58
107925603976843,Yes on Prop 22,"Yes on 22 – Save App-Based Jobs & Services: a coalition of on-demand drivers and platforms, small businesses, public safety and community organizations. Committee major funding from Uber Technologies, Lyft, and DoorDash.",111603,101
24413227922,Kamala Harris,BIDEN VICTORY FUND,95817,197
105756057589080,The Lincoln Project,The Lincoln Project,95436,358
470241276500901,Women Vote,WOMEN VOTE!,94727,311
1204754733024419,People's Power Grab,ACRONYM,84159,265
332716170522025,America First Action,America First Action,82790,424
103026384819654,How to Vote,ACRONYM,65382,143
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,63921,243
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,60659,74
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,57299,262
706716899745696,Women for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,56703,177
101359811498192,Cost of Chaos,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,55636,1148
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",51740,435
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,50533,64
110224710639481,YES on 14: CA for Stem Cell Research & Cures,"YES on 14: Californians for Stem Cell Research, Treatments and Cures. Committee major funding from Robert N. Klein II and Affiliated Entity Klein Financial Corporation, Dagmar Dolby, JDRF International. Funding details at www.fppc.ca.gov",50124,14
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,50056,255
538649879867825,Red Table Talk,"Facebook, Inc.",47700,6
55549065733,Voto Latino,VOTO LATINO INC.,47538,297
309798029121030,Everytown for Gun Safety,EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),46376,72
101525041616176,Power the Polls,Power The Polls,45345,1301
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",44680,285
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,43739,96
169597416843751,Stand Up America,Stand Up America,43258,33
24413227922,Kamala Harris,BIDEN FOR PRESIDENT,42655,308
108831660841719,Stop the Illinois Tax Hike Amendment,Coalition to Stop the Proposed Tax Hike Amendment,41077,120
228754857151053,House Majority PAC,House Majority PAC,39324,206
103472678159706,Preserve America PAC,PRESERVE AMERICA PAC,39244,14
101278694809805,Meme2020,Meme2020,36755,50
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,36587,781
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,35993,102
6815841748,Barack Obama,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,35417,285
108103774350322,We the People 2020,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,34975,205
108103774350322,We the People 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,34500,380
1721333671443168,Majority Forward,MAJORITY FORWARD,33992,23
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,33833,259
111201130682281,One North Carolina,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,32554,43
443329669123990,USAFacts,USAFacts Institute,31517,147
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,31310,301
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,30915,553
104684067632334,Unite the Country,UNITE THE COUNTRY,30840,220
114904113668632,Trump For Florida,"DONALD J. TRUMP FOR PRESIDENT, INC.",30627,290
101229485069553,America Votes Trump Out,TECH FOR CAMPAIGNS,30521,162
149509599222913,No On Prop 21,No on Prop 21: Californians for Responsible Housing,30000,6
242077219243971,The Presidential Coalition,The Presidential Coalition,29755,195
925007000949719,ExxonMobil,Exxon Mobil Corporation,29048,101
105966587923160,North Carolina - Register to Vote by October 9,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,28221,8
442159053368561,Women Speak Out PAC,Women Speak Out PAC,28112,35
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,27265,243
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,26097,577
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,25394,205
607626319739286,Black Voices for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,25204,86
1553040531666224,Independence USA,Independence USA PAC,24427,1808
179204028758675,California Secretary of State,California Secretary of State,24275,16
537492463326062,WestGame,These ads ran without a disclaimer,23965,13
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,23182,101
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,22077,22
602714436529710,End Citizens United,END CITIZENS UNITED,22043,202
109131637582529,Trump for Ohio,"DONALD J. TRUMP FOR PRESIDENT, INC.",21560,110
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,21470,518
8934429638,Planned Parenthood Action,Planned Parenthood Votes,20605,267
101183127996396,Four Is Enough,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",20558,136
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,20348,1582
700806360047982,CFG Action,Club for Growth Action,19841,67
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,19769,182
104673218071670,America Votes For Biden,TECH FOR CAMPAIGNS,19750,71
110762610521896,More Than A Vote,"More Than A Vote, Inc",19105,10
121111592617739,Secure the Vote Georgia,Georgia Secretary of State,18988,63
109031110946474,Pennsylvania Votes Trump Out,TECH FOR CAMPAIGNS,18937,66
101575038360158,Florida Votes Trump Out,TECH FOR CAMPAIGNS,18785,67
142992759853421,Be A Hero,BE A HERO PAC,17864,95
344690446467832,The Copper Courier,"Courier Newsroom, Inc.",17816,208
105791402802932,Democratic Party of Georgia,Democratic Party of Georgia,17582,64
1556932204325823,ProgressPop,ProgressPop,17561,602
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,17458,1129
1765073800454902,Reform Austin,Reform Austin Inc.,17262,410
106487520883333,Cardinal & Pine,"Courier Newsroom, Inc.",17194,444
248833449184369,Boost the News,ACRONYM,17069,1515
102781694834193,American Herald,America First Action,16622,61
6713653788,Gary Peters,PETERS FOR MICHIGAN,16592,267
105577974544303,The USA Needs More Patriots,AmeriPolling,16524,69
40912053758,Ohio Republican Party,Ohio Republican Party,16007,131
108464460953715,2020 Priorities,DCCC,15913,49
102940748211235,Trump for Pennsylvania,"DONALD J. TRUMP FOR PRESIDENT, INC.",15649,136
2352630938293825,Mytacticalpromos,Entremax,15633,171
100560711450721,Evangelicals for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,15584,23
327837911149503,2A4Life,2A4LIFE LLC,15443,138
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,15443,267
100982558170342,America Benefits Today,Dollar Informer,15348,2
127225910653607,PragerU,PragerU,15161,138
105479921284817,Trump For Michigan,"DONALD J. TRUMP FOR PRESIDENT, INC.",15144,486
114971076538782,The Keystone,"Courier Newsroom, Inc.",15040,387
109944567501859,Trump for Arizona,"DONALD J. TRUMP FOR PRESIDENT, INC.",15010,284
605168822998856,314 Action,314 ACTION FUND,14990,22
114625730266879,Republican Voters Against Trump,Defending Democracy Together,14914,27
1576552839287418,Senate Leadership Fund,Senate Leadership Fund,14639,97
116505355909,No On Prop 15,"No on Prop 15 - Stop Higher Property Taxes and Save Prop 13 - a coalition of California homeowners, taxpayers, and businesses",14355,178
1600352356914768,PushBlack,PushBlack,14139,116
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,13949,53
110749446963570,Courier,"Courier Newsroom, Inc.",13856,1525
103597034685122,Vote Like A Madre,LATINO VICTORY PROJECT,13827,387
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,13749,161
819607471729183,Dr. Al Gross for US Senate,DR. AL GROSS FOR U.S. SENATE,13703,50
431099560800970,Front Page Live,"Front Page Live, Inc.",13509,175
101591204987294,Forward Arizona,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,13378,8
104510688080741,"North Carolina: To Be Safe, Vote Early",DSCC,13307,32
101329438317952,Story Network Action,Story Network Foundation,13255,8
491878397627090,Florida Watch,"Florida Watch, Inc.",12977,33
193246844702687,Defending Democracy Together,Defending Democracy Together,12906,27
27670195475,Alliance for a Better Minnesota,Alliance for a Better Minnesota Action Fund,12727,713
594179467757742,Wrong Path McGrath,MCCONNELL SENATE COMMITTEE,12601,4
736198543440939,New Approach Montana,NEW APPROACH MONTANA,12555,27
104856814505092,The Kids Guide,The Kids Guide,12228,32
113668017062690,Citizens For Free Enterprise,Citizens for Free Enterprise,12172,124
18957518672,Rock the Vote,Rock The Vote,12070,129
1032024236842744,Marsy's Law for Kentucky,"Marsy's Law for Kentucky, LLC",12003,87
1797429147207331,NEON,"NEON RATED, LLC",11959,22
1676291615740480,Yes on 21,Homeowners and Tenants United,11863,235
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,11765,91
261663760956534,America First Policies,America First Policies Inc,11687,130
7833534974,Florida Democratic Party,Florida Democratic Party,11558,47
459890014763287,Rocky Mountain Values,Rocky Mountain Values,11524,18
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,11377,208
1470540296409810,Fair Fight Action,Fair Fight,11366,24
108821207621435,A Better Wisconsin Together Institute,"A Better Wisconsin Together Institute, Inc.",11279,120
832386480494577,State Voices,STATE VOICES,10805,897
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",10805,651
268713027333418,The Georgia Action Fund,Georgia Action Fund,10761,9
103075334816156,UFCW Votes,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,10718,109
103218494866778,Michigan Votes Trump Out,TECH FOR CAMPAIGNS,10688,20
102617961152741,Barbara Bollier,BOLLIER FOR KANSAS,10660,33
1449461518652183,4Patriots,4Patriots LLC,10595,12
326974419055,Xfinity,COMCAST CORPORATION,10586,13
748857881986418,Montana True,SMP,10565,34
108692310594568,UNITE HERE,UNITE HERE PAC,10562,6
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,10383,389
428821014132730,Katie Porter,Katie Porter For Congress,10302,168
101705098342029,Hawkeye Values,SMP,10203,2
