Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
153080620724,Donald J. Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,544238,2926
153080620724,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",318724,6174
367152833370567,Instagram,"Facebook, Inc.",313016,16
7860876103,Joe Biden,BIDEN FOR PRESIDENT,268109,841
7860876103,Joe Biden,BIDEN VICTORY FUND,226616,666
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,200984,1569
1667638686847579,The Collective PAC,COLLECTIVE FUTURE,191605,735
350316025478383,When We All Vote,When We All Vote,159183,102
280034132055819,WhatsApp,WhatsApp Inc.,153716,25
100217778224266,No On Proposition 23,"NO on 23 - Stop the Dangerous & Costly Dialysis Proposition, a coalition of dialysis providers, nurses, doctors and patients. Committee major funding from DaVita, Fresenius Medical Care, US Renal Care",129276,79
107925603976843,Yes on Prop 22,"Yes on 22 – Save App-Based Jobs & Services: a coalition of on-demand drivers and platforms, small businesses, public safety and community organizations. Committee major funding from Uber Technologies, Lyft, and DoorDash.",127682,80
55549065733,Voto Latino,VOTO LATINO INC.,125938,305
1204754733024419,People's Power Grab,ACRONYM,120089,323
110224710639481,YES on 14: CA for Stem Cell Research & Cures,"YES on 14: Californians for Stem Cell Research, Treatments and Cures. Committee major funding from Robert N. Klein II and Affiliated Entity Klein Financial Corporation, Dagmar Dolby, JDRF International. Funding details at www.fppc.ca.gov",106902,12
105666447950072,Let's Count Texas,Let's Count Texas,100917,10454
470241276500901,Women Vote,WOMEN VOTE!,97902,292
108824017345866,Facebook,"Facebook, Inc.",94491,73
103026384819654,How to Vote,ACRONYM,81208,156
202626512363,U.S. Census Bureau,U.S. Census Bureau,75865,51
156968474833352,Stop Republicans,Stop Republicans,67159,139
20531316728,Facebook App,"Facebook, Inc.",61609,22
101359811498192,Cost of Chaos,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,61014,979
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,54757,310
101279451606075,Democratic Strategy Institute,Democratic Strategy Institute,53475,235
328072970642479,Jaime Harrison,JAIME HARRISON FOR US SENATE,53423,150
332716170522025,America First Action,America First Action,51871,115
