Page ID,Page Name,Disclaimer,Amount Spent (USD)
538649879867825,Red Table Talk,"Facebook, Inc.",≤100
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,≤100
109392040690237,Campbell for Montana,Colette Campbell for Montana House District 67,≤100
1815187388753307,Montana Federation of Public Employees,Montana Federation of Public Employees,≤100
123230422847893,406 Nations,Montana Democratic Party,≤100
101376975079811,American Leadership Fund,American Leadership Fund,≤100
608702206450444,Montanans for Effective Government,Montanans for Effective Government,≤100
1449461518652183,4Patriots,4Patriots LLC,≤100
706716899745696,Women for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
1486786911550436,Montanans For Limited Government,MONTANANS FOR LIMITED GOVERNMENT,≤100
108813882746,American Cancer Society Cancer Action Network Montana - ACS CAN,AMERICAN CANCER SOCIETY CANCER ACTION NETWORK INC,≤100
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,≤100
2352630938293825,Mytacticalpromos,Entremax,≤100
327837911149503,2A4Life,2A4LIFE LLC,≤100
605168822998856,314 Action,314 ACTION FUND,≤100
109439470678419,Robin Hammond for District Court Judge,Robin Hammond for Judge,≤100
127225910653607,PragerU,PragerU,≤100
289529481685808,Mark Piskolich for Justice of the Peace,Mark Piskolich for Justice of the Peace,≤100
1013391422160726,Dr. Jane Gillette for MT House,Dr. Jane Gillette,≤100
114710126648118,Republican Dogs,Republican Dogs,≤100
302182941354,AARP Advocates,AARP,≤100
111073050337597,Pope for Montana Senate,Chris Pope for Montana Senate,≤100
105756057589080,The Lincoln Project,The Lincoln Project,≤100
105417287979883,Realtors for Steve Daines,National Association of REALTORS,≤100
202531447982,Jimmy Chin,Protect Our Winters,≤100
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,≤100
294061056548,Austin Knudsen for Montana,Austin for Montana,≤100
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,≤100
104856814505092,The Kids Guide,The Kids Guide,≤100
387312204617372,American Tort Reform Association,"AMERICAN TORT REFORM ASSOCIATION, INC.",≤100
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",≤100
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,≤100
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,≤100
168051710543266,Lacy Johnson,Lacy Johnson for Congress,≤100
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,≤100
108754587444715,Retain Jason Marks for District Court Judge,Marks for Judge,≤100
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,≤100
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,≤100
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,≤100
586488524838989,Tom France for Montana House District 94,Margaret Mary Haenn,≤100
9324910069,NRSC,NRSC,≤100
892673067526965,Project War Path,Project War Path,≤100
1797429147207331,NEON,"NEON RATED, LLC",≤100
103983379801,Texas Democratic Party,SUPER STATES 2020,≤100
1419388578092947,Anna Paulina Luna,ANNA PAULINA LUNA FOR CONGRESS,≤100
195530355493,Chicks On The Right,Chicks on the Right,≤100
1809078699219595,Fat Tire,"NEW BELGIUM BREWING COMPANY, INC.",≤100
8325302025,Friends of the Earth U.S.,Friends of the Earth,≤100
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,≤100
249247419293008,Braxton Mitchell for House District 3,Braxton For Montana,≤100
158791100909689,Concerned Veterans for America,Concerned Veterans for America,≤100
109379100777665,Patriotism Isn't Dead,Patriot Polling,≤100
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,≤100
103960038106743,Crow Lives Matter,Crow Lives Matter,≤100
79125112926,Students for Life of America,"STUDENTS FOR LIFE OF AMERICA, INC.",≤100
108635370971125,Home Value Club,Home Value Club,≤100
328853823844484,Balance of Power,Balance of Power,≤100
428821014132730,Katie Porter,Katie Porter For Congress,≤100
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,≤100
42872222699,Dana Loesch,Dana Loesch Radio,≤100
596556607135301,The Earthling Co.,The Earthling Co.,≤100
150069371813700,Senator Margie MacDonald,MacDonald for Billings,≤100
103597604713894,Team Trump Store,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,≤100
7833534974,Florida Democratic Party,Florida Democratic Party,≤100
106244251043808,Reuse Plastics,"AMERICAN CHEMISTRY COUNCIL, INC.",≤100
2081864865362439,Mike Espy,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
120962494639704,First Five Years Fund,First Five Years Fund,≤100
504491792903510,Montana Native Vote,Tracie Joan Moss,≤100
2353115591423642,James Brown for Montana Public Service Commission,jamesbrown4psc,≤100
20787991568,Senate Democrats,DSCC,≤100
322954821077735,Tom Woods For Public Service Commission,Tom Woods for Public Service Commission,≤100
14856729724,Gap,Gap Inc,≤100
25852730092,Care2,Care2 Inc,≤100
112711020364839,Keystone XL Pipeline,TC Energy,≤100
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,≤100
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",≤100
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,≤100
11111618026,Union of Concerned Scientists,"UNION OF CONCERNED SCIENTISTS, INC.",≤100
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,≤100
248775065305797,Black Butte Copper,Sandfire Resources America,≤100
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,≤100
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,≤100
223055747744143,Beto O'Rourke,Powered By People,≤100
114598196591931,Monica Tranel for PSC,Tranel for PSC,≤100
1497520100475719,Cascade County Sheriff/Coroner's Office,Cascade County Sheriff's Office,≤100
110825477206136,Marta Bertoglio for State Representative,"Marta for Montana, PO Box 294, Clancy, MT 59634, Treasurer Megan Bullock",≤100
717115395103069,PrintedKicks,Printed Kicks,≤100
111247993833532,Lisa Pavlock for House District 93,Lisa Marie Pavlock,≤100
167606528159,Dockers,Levi Strauss & Co.,≤100
18982436812,ACLU,American Civil Liberties Union,≤100
309308412520731,Sandy Hook Promise,Sandy Hook Promise,≤100
277005566267077,Blueland,Blueland,≤100
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,≤100
104673218071670,America Votes For Biden,TECH FOR CAMPAIGNS,≤100
6500552187,Hulu,"HULU, LLC",≤100
1374134752633656,New Health Plans,Shop Insurance Plans,≤100
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,≤100
5435784683,Greenpeace USA,"GREENPEACE, INC.",≤100
120547365195,National LGBTQ Task Force,These ads ran without a disclaimer,≤100
104614641200137,MeidasTouch,MEIDASTOUCH,≤100
109185544009033,Kris Spanjian for HD40,Kris Spanjian for HD40,≤100
260713150211,Protect Our Winters,Protect Our Winters,≤100
103644036958,United Association,United Association Political Education Committee,≤100
314499212242,Pfizer,Pfizer Inc.,≤100
530604487365010,Old Glory Flagpole Kits,Service First,≤100
333710103706307,Giffords,GIFFORDS PAC,≤100
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,≤100
213792049451918,Stand For America,Stand For America Inc,≤100
266344180585578,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,≤100
636840206489219,Montana Business Quarterly,University of Montana,≤100
376776419037747,Turning Point USA,Turning Point USA,≤100
109259897568722,The Democratic Senate Action Committee,THE DEMOCRATIC SENATE ACTION COMMITTEE,≤100
734235969941437,Jedediah Hinkle - Montana Legislature,Hinkle For Montana,≤100
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",≤100
132492254050920,American AF,AAF Nation,≤100
101075798356272,ReOpen America Now,Command Center Holdings LLC,≤100
211129648950315,Western Native Voice,Tracie Joan Moss,≤100
100893138123492,Sandy Erhardt for Clerk of District Court,Cassandra Ann Erhardt,≤100
215199482635728,Alek Skarlatos,ALEK FOR OREGON,≤100
113666459994300,Big Dan Rodimer for Congress,RODIMER FOR CONGRESS,≤100
2078647579047586,Project Pulso,Pulso,≤100
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,≤100
315467021926595,Native Voice Network,"AMERICANS FOR INDIAN OPPORTUNITY, INC",≤100
36872302227,Cory Booker,Cory Booker for Senate,≤100
461965197900017,Ed Stafman for Montana,Ed Stafman for Montana,≤100
100256754899828,Patriot's Cave,Patriots Cave,≤100
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",≤100
170980280933,PA Democratic Party,PENNSYLVANIA DEMOCRATIC PARTY,≤100
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,≤100
114054586907199,Ross Frazier for Montana HD 7,ROSS FRAZIER FOR HD 7,≤100
156268994819596,Marc J. Bern & Partners LLP,Marc J. Bern & Partners LLP,≤100
111023584012681,Open Road Homeward,Open Road Homeward,≤100
7976226799,The Daily Show,Comedy Central,≤100
53797383417,The National Urban League,National Urban League with Facebook Ad Credits,≤100
8057376739,The Nature Conservancy,Nature Conservancy,≤100
101329438317952,Story Network Action,Story Network Foundation,≤100
278478315828826,CNN Original Series,WarnerMedia LLC,≤100
43287633515,Alliance for Climate Education,Alliance for Climate Education,≤100
101968344682089,Re-Elect Justice McKinnon,Laurie McKinnon,≤100
130467958471,Jason Lewis,Jason Lewis for Senate,≤100
137855609584310,TBN,TRINITY BROADCASTING NETWORK INC,≤100
116238930177726,Artsiful,Brad Aaron Shaw,≤100
108109934203874,Insta Shop Boutique,Insta Shop Boutique,≤100
1338822066131069,Women's March,Women's March,≤100
1883837055193241,Shield Republic,Shield Republic,≤100
216709768355686,Dinesh D'Souza,America2020 Film LLC,≤100
278703415666824,Jeremy Jones,Protect Our Winters,≤100
1600352356914768,PushBlack,PushBlack,≤100
6820348410,Kirsten Gillibrand,Off the Sidelines,≤100
1107973016071967,Wesley Hunt,Hunt for Congress,≤100
530604487365010,Old Glory Flagpole Kits,Service First Flag Poles,≤100
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,≤100
100757521655204,Republican Red Wine,REPUBLICAN RED LLC,≤100
46093654473,National Republican Congressional Committee,NRCC,≤100
1435071773455316,Daily Wire,The Daily Wire,≤100
118978558166627,Lewis and Clark County Democrats,Lewis & Clark County Democratic Central Committee,≤100
95356211637,Ben Ferguson,Ben Ferguson show,≤100
393932827634250,Dissent Pins,Common Practice,≤100
107439427661844,Accountable Tech,Accountable Tech,≤100
150138672501772,Protect Our Winters Action Fund,Protect Our Winters Action Fund,≤100
2353537341582545,Proud Patriots,Proud Patriots,≤100
350784278974539,Turning Point Action,Turning Point Action,≤100
6204742571,Sierra Club,SIERRA CLUB,≤100
461204744067686,Family Protection Association,Family Protection Association,≤100
101127364972509,Dems For USA,Dems For USA,≤100
29092950651,TED,TED Conferences,≤100
305832706292882,American Gun Association,GunAssociation.org,≤100
8501031021,VoteVets.org,VOTEVETS,≤100
109503650673946,Jennifer Allen for Montana House District 10,Allen4HD10,≤100
905962876138436,United Brotherhood of Carpenters and Joiners of America,United Brotherhood of Carpenters and Joiners of America,≤100
109677057145919,Hot Issue,Internet Binges,≤100
176466646087311,DC Fawcett,VREIC,≤100
7125294091,Teton Gravity Research,Protect Our Winters,≤100
203805062990264,Ben Shapiro,The Daily Wire,≤100
104113317870732,Free Markets Destroy,Washington Policy Center,≤100
108557097612242,Vote By Mail PAC,Vote By Mail PAC,≤100
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,≤100
55549065733,Voto Latino,VOTO LATINO INC.,≤100
58736997707,Marco Rubio,Marco Rubio for Senate,≤100
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,≤100
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
101324424793972,Jimmy Patelis,Montanans for Jimmy Patelis (R),≤100
180496871664,Citizens For Balanced Use,CITIZENS FOR BALANCED USE,≤100
69983322463,Ted Cruz,TED CRUZ FOR SENATE,≤100
23875187730,Feeding America,Feeding America,≤100
105791402802932,Democratic Party of Georgia,SUPER STATES 2020,≤100
102617961152741,Barbara Bollier,BOLLIER FOR KANSAS,≤100
102782071486,Gallatin County Democrats,Gallatin County Democratic Central Committee,≤100
658739734196897,CVS Health,CVS HEALTH CORPORATION,≤100
476853692812920,Montana Big Tent Voters,Thomas H Giebink,≤100
160484230634663,National Urban Indian Family Coalition,National Urban Indian family Coalition with Facebook Ad Credits,≤100
593289284500311,Trump Rack,BOXD Marketing,≤100
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",≤100
367851896743849,Chris Friedel,"Friends of Chris Friedel  3302 2nd Ave. N. Billings, MT 59101 (R)",≤100
2116141045107743,Mike Garcia for Congress,Mike Garcia for Congress,≤100
110131184128140,We Are Respect The Look,Respect The Look,≤100
106663044307859,Mike Sievert,"T-MOBILE USA, INC.",≤100
681745912255844,John Cummings for Congress,CUMMINGS FOR CONGRESS,≤100
18492769291,Faithful America,Faithful America,≤100
100175268282397,Molly Bradberry for Clerk of District Court,Molly Bradberry Campaign Account,≤100
121124497909191,Native Vote,NATIONAL CONGRESS OF AMERICAN INDIANS OF THE UNITED STATES AND ALASKA INC,≤100
309798029121030,Everytown for Gun Safety,EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),≤100
168517233193784,American Heart Association - Montana,"American Heart Association, Inc.",≤100
260933440643373,UltraViolet,UltraViolet Action,≤100
206743952696198,Lower My Bills,"LMB OpCo, LLC",≤100
15687409793,World Wildlife Fund,World Wildlife Fund,≤100
11791104453,NRDC,Natural Resources Defense Council,≤100
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,≤100
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,≤100
106402714456835,ReforestBracelets,Trees4Australia,≤100
1010143499143169,Medicare Savings,"Mayo Labs, LLC",≤100
106973694007283,Keep America Great Again,KagaGear.com,≤100
926650430723985,Really American,REALLY AMERICAN PAC,≤100
104139141429419,RuralVote.org,RuralVote.org,≤100
569341730079626,Anne W. Giuliano,Friends of Anne Giuliano,≤100
6231686654,Compassion International,"COMPASSION INTERNATIONAL, INCORPORATED",≤100
338028696036,Yahoo News,Verizon Media Inc,≤100
513695272011123,The Genesis Prize,GPF NA LLC,≤100
107210084216238,Humanity Forward,Humanity Forward,≤100
385473284886474,Hillsdale College,HILLSDALE COLLEGE,≤100
15524934075,Banana Republic,Banana Republic,≤100
1070396243035218,Dan Salomon For Senate,Dan Salomon for State Senate,≤100
17023576156,The Leadership Conference on Civil and Human Rights,Leadership Conference Education Fund,≤100
20612127118,North Carolina Democratic Party,NORTH CAROLINA DEMOCRATIC PARTY - FEDERAL,≤100
106114264313679,Hunt The Vote,"Hunter Nation, Inc",≤100
162695894106234,Co-ops Vote,National Rural Electric Cooperative Association,≤100
102875587947942,Keep Trump In Office,Keep Trump In Office,≤100
114475890010131,Piggy Dollar Financial,Tyler Wayne Hedland,≤100
13759741267,Sesame Workshop,Sesame Workshop,≤100
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,≤100
205395906412,UAW International Union,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",≤100
907919839243616,My Faith Votes,My Faith Votes,≤100
139398939438430,Left Action,Left Action LLC,≤100
242077219243971,The Presidential Coalition,The Presidential Coalition,≤100
103171661289936,Kyle Waterman For Montana Senate District 2 - Democrat,Montanans for Kyle Waterman,≤100
104288381188176,Melissa Smith for a Thriving Montana,MONTANANS FOR MELISSA SMITH,≤100
154269528015922,Byron Donalds,Byron Donalds for Congress,≤100
6333396177,NewsBusters.org,MEDIA RESEARCH CENTER,≤100
407664862957433,Ammar Campa-Najjar for Congress,AMMAR CAMPA-NAJJAR FOR CONGRESS,≤100
15188122178,The Hamilton Collection,The Hamilton Collection,≤100
100233228182981,Madison Cawthorn for Congress,CAWTHORN FOR NC,≤100
118686519962406,NIOSH Aerosol Respirator and Face Shield Protection for The General Public,"Eastern PPE Imports, LLC",≤100
159964696102,Kevin McCarthy,KEVIN MCCARTHY FOR CONGRESS,≤100
2353115591423642,James Brown for Montana Public Service Commission,James Brown for Montana,≤100
237477017606,Club for Growth,Club for Growth,≤100
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,≤100
118548500327,Billy Graham Evangelistic Association,BILLY GRAHAM EVANGELISTIC ASSOCIATION,≤100
2037695643113766,Blexit,Blexit Foundation,≤100
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,≤100
1529468987331408,BulbHead,TELEBRANDS CORP.,≤100
189097124503473,Goldco,Goldco,≤100
60449667441,Family Research Council,FAMILY RESEARCH COUNCIL,≤100
655065784538368,PredictIt,"PredictIt - Prediction Markets. A project of Victoria University of Wellington, PredictIt has been established to facilitate research into the way markets forecast events.",≤100
1530883997194411,United States Constitution,Flag and Cross,≤100
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,≤100
59386210330,American Lung Association,AMERICAN LUNG ASSOCIATION,≤100
41309865723,Democrats.com,DEMOCRATS.COM,≤100
118502801658228,Young Kim,Young Kim for Congress,≤100
136818983856,Purina,Nestle Purina Petcare Company,≤100
100742855137512,Patriotic Freedom,spraw.uk.com,≤100
680894095682539,Cowboy Life,"Nine Ranch Enterprises, LLC",≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
643463669628493,Public Opinion Research Group,"Public Opinion Research Group, Inc",≤100
140871219950672,TIME'S UP,TIME'S UP,≤100
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,≤100
108342854070297,Jim For SD38,Jim Buterbaugh for SD 38,≤100
104684067632334,Unite the Country,UNITE THE COUNTRY,≤100
293225127381200,Patriot Depot,The Patriot Depot,≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
112061263559394,Kelly Kortum for Montana House District 65,Kelly Kortum for HD65 (KellyForMT),≤100
6820348410,Kirsten Gillibrand,Gillibrand for Senate,≤100
6236054211,Brady,Brady Campaign to Prevent Gun Violence,≤100
201287297283968,Representative Frank Fleming,"Fleming For Legislature. 626 South 38th Street West #22, Billings, MT 59102. Republican",≤100
108228897468271,Superfeed,Feedme Inc.,≤100
8550121410,Free Speech America Project,MEDIA RESEARCH CENTER,≤100
105495747968644,Montana Transparency Report,The Montana Democrats,≤100
894096170667732,Ashley Hinson,Ashley Hinson For Congress,≤100
209516845093,NRDC Action Fund,NRDC Action Fund,≤100
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,≤100
601472019907779,Latino Victory,Latino Victory,≤100
471487683059990,American Mind,"CLAREMONT INSTITUTE FOR THE STUDY OF STATESMANSHIP AND POLITICAL  PHILOSPHY, THE",≤100
429812024048177,Doug Jones for Senate,DOUG JONES FOR SENATE COMMITTEE,≤100
1683659714985244,Phil Ehr,EHR FOR CONGRESS,≤100
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,≤100
405209453580678,Proud Trump Supporters,Proud Right Winger,≤100
586751814690068,Joni Ernst,Joni for Iowa,≤100
354716314909000,Swing Left,Swing Left,≤100
49651563727,Live Action,Live Action,≤100
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,≤100
259212814698356,Democratic Majority for Israel,DMFI PAC,≤100
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,≤100
100148001864749,Legends of USA Freedom,lobasti.uk.com,≤100
1836138529938551,Greater Half,Greater Half,≤100
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,≤100
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",≤100
107237631141061,Montana for Jo Jorgensen 2020,Robert Victor Imhoff Dousharm,≤100
17911165812,Covenant House International,Covenant House,≤100
219247332354785,Phil Arballo for Congress,ARBALLO FOR CONGRESS,≤100
308159713150350,Voter Protection Project,VOTER PROTECTION PROJECT,≤100
104351147973521,BLM Store,www.BLM.store,≤100
2309566456030859,Human Coalition Action,Human Coalition Action,≤100
819607471729183,Dr. Al Gross for US Senate,DR. AL GROSS FOR U.S. SENATE,≤100
455147011996099,The Ann and Phelim Scoop,The Unreported Story Society,≤100
26006662641,Arizona Democratic Party,Arizona Democratic Party,≤100
23790541544,Democrats,DCCC,≤100
115128773664050,"Not Him, Us",Action For A Progressive Future,≤100
1297437463649811,by Humankind,by Humankind,≤100
355316521236121,John Cornyn,Cornyn Majority Texas,≤100
90498769709,Edenpure,EdenPURE®,≤100
108543130978621,Proud American Gifts,The GOP Shop,≤100
1415024082085086,Suzzann Nordwick,NORDWICK FOR MONTANA,≤100
106224464107240,Jo Jorgensen,Jo Jorgensen for President,≤100
420785874975425,Conservative Institute,The Conservative Institute,≤100
277414242013,Joyce Elliott,JOYCE ELLIOTT FOR CONGRESS,≤100
934438026690635,YouGov,YOUGOV AMERICA INC.,≤100
151525932186806,When Democrats Turn Out,WHEN DEMOCRATS TURN OUT PAC,≤100
103185334702225,Stop Trump PAC,STOP 45 PAC,≤100
808450969246896,"Rebecca Walser, Tax Attorney, CFP",Walser Wealth Management,≤100
103901771487348,USA Saviors stores,artac.uk.com,≤100
2602473023098666,Democratic Polling Center,Democratic Governors Association,≤100
257019421075897,Cory Gardner,Cory Gardner for Senate,≤100
612701059241880,Latinos for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
169130470583214,Demand Justice,Demand Justice,≤100
278703415666824,Jeremy Jones,Protect Our Winters Action Fund,≤100
265268336865693,Do Amore,Do Amore Limited Company,≤100
239369754353,Wooden Ships by Paola Buendia,WOODEN SHIPS OF HOBOKEN,≤100
107523875954231,Danny Davis,Protect Our Winters,≤100
51761261956,The Bill of Rights Institute,"BILL OF RIGHTS INSTITUTE, THE",≤100
110124618713,American Principles Project,American Principles Project,≤100
1488803804538481,Mike Siegel,MIKE SIEGEL FOR CONGRESS,≤100
103026384819654,How to Vote,ACRONYM,≤100
1765073800454902,Reform Austin,Reform Austin Inc.,≤100
